state,type,nights_millions
New South Wales,Domestic,117.0
New South Wales,International,99.1
Victoria,Domestic,88.5
Victoria,International,62.4
Queensland,Domestic,81.3
Queensland,International,45.2
Western Australia,Domestic,30.1
Western Australia,International,22.8
South Australia,Domestic,22.4
South Australia,International,8.6
Australian Capital Territory,Domestic,8.2
Australian Capital Territory,International,5.1
Tasmania,Domestic,8.9
Tasmania,International,3.2
Northern Territory,Domestic,4.5
Northern Territory,International,2.1
